Date,Merchant,Amount,Category
2026-08-16 12:38:10.170227,Amazon,1299,Shopping
2026-08-15 12:38:10.170239,Flipkart,599,Shopping
2026-08-14 12:38:10.170242,Swiggy,350,Food
2026-08-13 12:38:10.170244,Zomato,420,Food
2026-08-12 12:38:10.170246,Amazon,1299,Shopping
2026-08-11 12:38:10.170248,BigBasket,850,Grocery
2026-08-10 12:38:10.170250,Uber,180,Travel
2026-08-09 12:38:10.170251,IRCTC,1200,Travel
2026-08-08 12:38:10.170253,Netflix,499,Subscription
2026-08-07 12:38:10.170254,PhonePe,50,UPI
2026-08-06 12:38:10.170256,Amazon,25000,Shopping
2026-08-05 12:38:10.170257,DMart,2100,Grocery
2026-08-04 12:38:10.170265,Petrol Pump,3000,Fuel
2026-08-03 12:38:10.170267,Hospital,15000,Health
2026-08-02 12:38:10.170268,College Fees,50000,Education
2026-08-01 12:38:10.170270,Swiggy,280,Food
2026-07-31 12:38:10.170271,Zomato,390,Food
2026-07-30 12:38:10.170273,Myntra,2200,Shopping
2026-07-29 12:38:10.170275,BookMyShow,600,Entertainment
2026-07-28 12:38:10.170277,Amazon,899,Shopping
