Date,Merchant,Amount,Category
2026-08-16 12:37:59.467863,Amazon,1299,Shopping
2026-08-15 12:37:59.467878,Flipkart,599,Shopping
2026-08-14 12:37:59.467881,Swiggy,350,Food
2026-08-13 12:37:59.467883,Zomato,420,Food
2026-08-12 12:37:59.467884,Amazon,1299,Shopping
2026-08-11 12:37:59.467886,BigBasket,850,Grocery
2026-08-10 12:37:59.467888,Uber,180,Travel
2026-08-09 12:37:59.467889,IRCTC,1200,Travel
2026-08-08 12:37:59.467890,Netflix,499,Subscription
2026-08-07 12:37:59.467892,PhonePe,50,UPI
2026-08-06 12:37:59.467893,Amazon,25000,Shopping
2026-08-05 12:37:59.467895,DMart,2100,Grocery
2026-08-04 12:37:59.467896,Petrol Pump,3000,Fuel
2026-08-03 12:37:59.467903,Hospital,15000,Health
2026-08-02 12:37:59.467905,College Fees,50000,Education
2026-08-01 12:37:59.467906,Swiggy,280,Food
2026-07-31 12:37:59.467908,Zomato,390,Food
2026-07-30 12:37:59.467909,Myntra,2200,Shopping
2026-07-29 12:37:59.467911,BookMyShow,600,Entertainment
2026-07-28 12:37:59.467912,Amazon,899,Shopping
